id,name,address,governorate,latitude,longitude
1473,Parfumerie,"نهج القرنفل, Dar Chaâbane El Fehri",Nabeul,36.4684988,10.7434223
1252,Pharmacie Abida,"RR28, Bir Challouf, Neapolis",Nabeul,36.4471326,10.7187324
1301,Pharmacie Adel Ben Romdhane,"Boulevard de l'Environnement, Maâmoura, El Maamoura",Nabeul,36.4668702,10.8076152
1278,Pharmacie Ahmed Ammar,"Avenue Taïeb Mhiri, Hammamet Ouest",Nabeul,36.4037709,10.6112214
1475,Pharmacie Aida Aouinti,شارع البيئة,Nabeul,36.4564431,10.7464941
1268,Pharmacie Al-Yamama,"RR28, Zone Touristique Elmrezka, El Mrezga",Nabeul,36.4260777,10.6701321
1507,Pharmacie Ali Ben Ali,"Rue du 10 Décembre, Beni Khalled, Beni Khalled Est",Nabeul,36.6492959,10.5935498
1256,Pharmacie Amine Salah,شارع علي البلهوان,Nabeul,36.4515118,10.7358821
1258,Pharmacie Ammar Aouatef,"Avenue du 2 Mars 1934, سيدي عاشور, Bir Challouf",Nabeul,36.4546792,10.7235677
1277,Pharmacie Bechir Mohsen,"Avenue des Nations Unies, Hammamet Nord",Nabeul,36.4060832,10.6124157
1267,Pharmacie Ben debba,"Avenue de la République, Hammamet",Nabeul,36.396729,10.6143902
1291,Pharmacie Ben Jabeur,"RR27, Korba",Nabeul,36.574372,10.8589317
1236,Pharmacie Ben Rhouma,"Rue Sakiet Sidi Youssef, Kelibia",Nabeul,36.8459256,11.0939165
1207,Pharmacie Ben Zahra Rimeh Ep Karoui,"Avenue Hedi Ouali, Hammamet Est",Nabeul,36.4070682,10.6244392
1269,Pharmacie BOUAOUINA Mohamed Aymen,"RR28, El Mrezga",Nabeul,36.4154333,10.6529456
1261,Pharmacie Boughzala,"Avenue Habib Bourguiba, Médina, El Asouak",Nabeul,36.4529729,10.7347809
1307,Pharmacie Dabboubi Ramzi,"RR42, Grombalia",Nabeul,36.6011508,10.5005847
1508,Pharmacie de Jour,"RR 42 طج, Beni Khalled Nord",Nabeul,36.6481147,10.5886826
1510,Pharmacie de Nuit,"RR42, Beni Khalled, Beni Khalled Est",Nabeul,36.6497483,10.5919081
1311,Pharmacie De Nuit,"RR43, Menzel Bou Zelfa, Menzel Bouzelfa Sud",Nabeul,36.6833224,10.5823116
1325,Pharmacie De Nuit,شارع الحبيب بورقيبة,Nabeul,36.4627581,10.7477234
1292,Pharmacie de Nuit - Ben Hmida,"RR27, Korba",Nabeul,36.5746781,10.8590457
1087,Pharmacie de nuit Béni Khiar,"Avenue Habib Bourguiba, Béni Khiar",Nabeul,36.4663562,10.7769874
1302,Pharmacie de nuit Chokri Ben Daamer صيدلية الليل,"Boulevard de l'Environnement, Maâmoura, El Maamoura",Nabeul,36.4643394,10.8071205
1180,Pharmacie Derbel,"RR28, El Mrezga",Nabeul,36.4176701,10.6566079
1266,pharmacie djedidi,"Avenue de la République, Hammamet",Nabeul,36.3984968,10.615798
1279,Pharmacie Drira,"Rue Amor Zaiani, Hammamet",Nabeul,36.4034481,10.6276385
1511,Pharmacie El Chahed,"RR42, Beni Khalled, Beni Khalled Est",Nabeul,36.649693,10.5912554
1203,Pharmacie El Fekih,شارع التحرير,Nabeul,36.4031623,10.6272561
1576,Pharmacie Faisal Garbaa,قربة,Nabeul,36.5789173,10.8586265
1283,Pharmacie Fatma Guiga,Avenue de la Paix,Nabeul,36.4580662,10.7469037
1293,Pharmacie Faycal Garbaa,"Rue Taïeb Mhiri, Korba",Nabeul,36.5784353,10.85878
1260,Pharmacie Gasti,"Avenue Jdeida Maghrebia, Quartier de la gare, Neapolis",Nabeul,36.4502173,10.7313408
1272,Pharmacie Hachem Kanoun,"Avenue des Nations Unies, Hammamet Ouest",Nabeul,36.4059043,10.5801701
1534,pharmacie Hdoussa,"Rue Habib Thameur, Dar Chaâbane El Fehri",Nabeul,36.4672148,10.7474078
1184,Pharmacie Hedi Ayed,"Avenue Hedi Ouali, Hammamet Est",Nabeul,36.4051967,10.6294764
1509,Pharmacie Hédi Ibn El Feki,"RR42, Beni Khalled, Beni Khalled Est",Nabeul,36.6507108,10.5882968
1181,Pharmacie Hthemi Hdidane Akacha,Hammamet,Nabeul,36.4018364,10.624162
1276,Pharmacie Koubakji Nabiha,"Avenue Habib Bourguiba, Hammamet",Nabeul,36.399628,10.6122526
1084,Pharmacie Ladhib,"Avenue Habib Thameur, Quartier de la gare, Neapolis",Nabeul,36.4516674,10.7292653
1324,Pharmacie Lahmar,"Rue Habib Thameur, Dar Chaâbane El Fehri",Nabeul,36.4689261,10.745968
